name_id,name_en
"aerator anggur","wine aerators"
"ember anggur","wine buckets"
"tatakan gelas anggur dari logam biasa","wine coasters of common metal"
"tatakan gelas anggur dari logam","wine coasters of metal"
"tatakan gelas anggur dari plastik tidak menjadi pengganti tekstil","wine coasters of plastic not being a textile substitute"
"pendingin anggur, non-listrik","wine coolers, non-electric"
"botol anggur","wine decanters"
"kerah tetesan anggur disesuaikan secara khusus untuk digunakan di bagian atas botol anggur untuk menghentikan tetesan","wine drip collars specially adapted for use around the top of wine bottles to stop drips"
"Gelas anggur","wine glasses"
"pembuka anggur","wine openers"
"saringan anggur","wine strainers"
"pipet pencicip anggur","wine-tasting pipettes"
"keranjang kawat untuk memanggang","wire baskets for grilling"
"sikat kawat, kecuali bagian mesin","wire brushes, except parts of machines"
"kaca pelat kabel, bukan untuk bangunan","wired plate glass, not for building"
wajan,woks
"talenan dari balok kayu [peralatan]","wooden chopping blocks [utensils]"
"talenan dari kayu","wooden chopping boards"
"mortir dan alu kayu","wooden mortars and pestles"
"mortir kayu untuk penggunaan dapur","wooden mortars for kitchen use"
"alu kayu","wooden pestles"
"alu kayu dan mortir","wooden pestles and mortars"
"alu kayu untuk penggunaan dapur","wooden pestles for kitchen use"
"sendok kayu [peralatan dapur]","wooden spoons [kitchen utensils]"
"sisa wol untuk membersihkan","wool waste for cleaning"
"karya seni yang terbuat dari keramik","works of art made of ceramic"
"karya seni yang terbuat dari china","works of art made of china"
"karya seni yang terbuat dari kristal","works of art made of crystal"
"karya seni yang terbuat dari tembikar","works of art made of earthenware"
"karya seni yang terbuat dari kaca","works of art made of glass"
"karya seni yang terbuat dari porselen","works of art made of porcelain"
"karya seni dari porselen, keramik, gerabah, terra-cotta atau kaca","works of art of porcelain, ceramic, earthenware, terra-cotta or glass"
"karya seni dari porselen, gerabah atau gelas","works of art of porcelain, earthenware or glass"
"karya seni dari porselen, terakota atau kaca","works of art of porcelain, terra-cotta or glass"
"karya seni terra-cotta","works of art of terra-cotta"
"kacamata halaman","yard glasses"
"yunomi [Cangkir teh gaya Jepang]","yunomi [Japanese-style teacups]"
"zen [nampan atau dudukan makan pribadi bergaya Jepang]","zen [Japanese-style personal dining trays or stands]"
"gelas pencampur [pengocok]","mixing cups [shakers]"
"sendok pencampur [peralatan dapur]","mixing spoons [kitchen utensils]"
"model pesawat terbang [ornamen] terbuat dari keramik","model aeroplanes [ornaments] made of ceramic"
"model pesawat terbang [ornamen] terbuat dari china","model aeroplanes [ornaments] made of china"
"model pesawat terbang [ornamen] terbuat dari tembikar","model aeroplanes [ornaments] made of earthenware"
"model pesawat terbang [ornamen] terbuat dari kaca","model aeroplanes [ornaments] made of glass"
"model pesawat terbang [ornamen] terbuat dari porselen","model aeroplanes [ornaments] made of porcelain"
"model pesawat terbang [ornamen] terbuat dari terra-cotta","model aeroplanes [ornaments] made of terra-cotta"
"hewan model [ornamen] terbuat dari keramik","model animals [ornaments] made of ceramic"
"hewan model [ornamen] terbuat dari china","model animals [ornaments] made of china"
"hewan model [ornamen] terbuat dari tembikar","model animals [ornaments] made of earthenware"
"hewan model [ornamen] terbuat dari porselen","model animals [ornaments] made of porcelain"
"hewan model [ornamen] terbuat dari terra-cotta","model animals [ornaments] made of terra-cotta"
"model mobil [ornamen] terbuat dari keramik","model cars [ornaments] made of ceramic"
"model mobil [ornamen] terbuat dari china","model cars [ornaments] made of china"
"model mobil [ornamen] terbuat dari tembikar","model cars [ornaments] made of earthenware"
"model mobil [ornamen] terbuat dari kaca","model cars [ornaments] made of glass"
"model mobil [ornamen] terbuat dari porselen","model cars [ornaments] made of porcelain"
"figur model [ornamen] terbuat dari keramik","model figures [ornaments] made of ceramic"
"figur model [ornamen] terbuat dari china","model figures [ornaments] made of china"
"figur model [ornamen] terbuat dari kaca","model figures [ornaments] made of glass"
"figur model [ornamen] terbuat dari porselen","model figures [ornaments] made of porcelain"
"figur model [ornamen] terbuat dari terra-cotta","model figures [ornaments] made of terra-cotta"
"model [ornamen] terbuat dari keramik","models [ornaments] made of ceramic"
"model [ornamen] terbuat dari china","models [ornaments] made of china"
"model [ornamen] terbuat dari tembikar","models [ornaments] made of earthenware"
"model [ornamen] terbuat dari kaca","models [ornaments] made of glass"
"model [ornamen] terbuat dari porselen","models [ornaments] made of porcelain"
"model kendaraan [ornamen] terbuat dari keramik","model vehicles [ornaments] made of ceramic"
"model kendaraan [ornamen] terbuat dari china","model vehicles [ornaments] made of china"
"model kendaraan [ornamen] terbuat dari tembikar","model vehicles [ornaments] made of earthenware"
"model kendaraan [ornamen] terbuat dari kaca","model vehicles [ornaments] made of glass"
"model kendaraan [ornamen] terbuat dari terra-cotta","model vehicles [ornaments] made of terra-cotta"
"kaca lembaran yang dimodifikasi, bukan untuk bangunan","modified sheet glass, not for building"
"pot moka, non-listrik","moka pots, non-electric"
"cetakan [peralatan dapur]","molds [kitchen utensils]"
"kotak uang, bukan dari logam","money boxes, not of metal"
"kotak uang, bukan dari logam mulia","money boxes, not of precious metal"
